Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-14 23:26:59,2018-09-14 23:28:33,1m - 34.155s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-14 23:26:59,2018-09-14 23:27:50,50.614s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 23:27:00,2018-09-14 23:27:08,8.265s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 23:27:08,2018-09-14 23:27:34,26.317s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:27:34,2018-09-14 23:27:38,3.986s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 23:27:38,2018-09-14 23:27:39,0.249s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 23:27:39,2018-09-14 23:27:39,0.344s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:27:39,2018-09-14 23:27:41,2.458s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:27:41,2018-09-14 23:27:45,3.308s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:27:45,2018-09-14 23:27:46,1.644s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:27:46,2018-09-14 23:27:49,2.865s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-14 23:27:49,2018-09-14 23:27:50,0.778s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-14 23:27:50,2018-09-14 23:28:33,43.019s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 23:27:50,2018-09-14 23:27:53,2.301s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 23:27:53,2018-09-14 23:28:04,10.943s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 23:28:04,2018-09-14 23:28:04,0.235s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:04,2018-09-14 23:28:07,2.897s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-14 23:28:07,2018-09-14 23:28:07,0.150s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:07,2018-09-14 23:28:07,0.111s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-14 23:28:07,2018-09-14 23:28:07,0.508s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-14 23:28:07,2018-09-14 23:28:09,1.956s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 23:28:09,2018-09-14 23:28:12,2.872s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:12,2018-09-14 23:28:16,3.424s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 23:28:16,2018-09-14 23:28:16,0.522s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 23:28:16,2018-09-14 23:28:16,0.257s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:16,2018-09-14 23:28:20,3.424s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 23:28:20,2018-09-14 23:28:20,0.419s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:20,2018-09-14 23:28:22,1.849s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:22,2018-09-14 23:28:22,0.246s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:22,2018-09-14 23:28:25,2.212s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:25,2018-09-14 23:28:27,2.001s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:27,2018-09-14 23:28:29,2.565s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 23:28:29,2018-09-14 23:28:32,3.291s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-14 23:28:32,2018-09-14 23:28:33,0.593s,PASSED
